N_ch N_D N_Ds N_K
18 0 0 0
24 0 0 1
23 0 0 3
22 0 0 4
28 0 0 5
8 0 0 2
20 0 0 2
21 0 0 0
29 0 0 5
38 0 0 2
49 1 0 2
12 0 0 0
28 0 0 3
24 0 0 0
27 0 0 4
29 0 0 3
32 0 0 3
16 0 0 3
28 0 0 4
23 1 0 4
38 0 0 5
23 0 0 3
20 0 0 6
20 0 0 3
21 0 0 5
15 0 0 1
20 0 0 3
29 0 0 0
26 0 0 0
27 0 0 3
34 0 0 3
18 0 0 0
43 0 0 5
28 0 0 1
24 0 0 2
21 0 0 1
16 0 0 2
31 0 0 0
23 0 0 1
36 0 0 3
18 0 0 3
48 0 0 9
12 0 0 0
38 1 0 5
21 0 0 0
20 0 0 4
22 0 0 2
49 0 0 0
24 0 0 6
37 0 0 3
36 0 0 0
32 0 0 1
33 1 0 9
34 0 0 2
24 0 0 2
29 0 0 1
26 0 0 6
50 1 1 2
50 0 0 6
31 0 0 1
31 0 0 2
24 0 0 1
34 0 0 2
40 0 0 4
30 0 0 0
31 0 0 2
37 0 0 3
21 0 0 5
27 0 0 4
59 1 0 3
36 0 0 1
45 0 0 8
16 0 0 3
32 0 0 4
17 0 0 0
24 0 0 1
12 0 0 0
25 0 0 2
22 0 0 3
30 0 0 0
30 0 0 4
19 0 0 2
35 0 0 3
12 0 0 0
10 0 0 3
30 0 0 3
21 0 0 6
20 0 0 1
31 0 0 5
52 1 0 3
28 0 0 2
29 0 0 3
34 0 0 1
29 0 0 2
35 0 0 5
16 0 0 3
29 0 0 1
36 0 0 1
37 0 0 2
32 0 0 2
24 0 0 6
33 0 0 1
26 0 0 1
33 2 0 0
22 0 0 0
35 0 0 4
30 0 0 0
15 0 0 2
25 0 0 1
28 0 0 1
46 0 0 5
30 0 0 5
41 0 0 10
30 0 0 5
23 0 0 1
5 0 0 0
19 0 0 0
13 0 0 0
29 0 0 2
49 0 0 3
17 0 0 1
28 0 0 3
20 0 0 3
46 2 0 6
19 0 0 1
32 1 0 4
27 0 0 4
28 0 0 1
22 0 0 1
46 0 0 2
58 0 0 4
30 0 0 0
30 0 0 4
24 0 0 1
28 0 0 4
20 0 0 5
59 0 0 11
17 0 0 2
35 0 0 7
28 0 0 5
33 0 0 1
31 0 0 5
35 0 0 3
7 0 0 1
33 0 0 1
40 0 0 5
18 0 0 1
15 0 0 0
48 0 0 5
18 0 0 0
13 0 0 1
33 0 0 2
31 0 0 3
20 0 0 1
39 0 0 6
28 0 0 2
60 0 0 7
28 0 0 2
25 0 0 0
34 1 0 3
35 0 0 7
21 0 0 4
44 0 0 8
19 0 0 0
34 0 0 5
20 0 0 0
28 0 0 3
27 0 0 1
35 0 0 1
29 0 0 0
40 0 0 2
27 0 0 2
37 0 0 1
32 0 0 1
31 0 0 6
23 0 0 2
41 0 0 3
40 0 0 5
12 0 0 2
20 0 0 1
37 0 0 4
38 0 0 3
16 0 0 2
39 0 0 2
19 0 0 2
15 0 0 1
30 0 0 5
24 0 0 2
20 0 0 3
31 0 0 5
25 0 0 3
16 0 0 2
44 0 0 3
32 0 0 0
44 0 0 3
20 0 0 2
26 0 0 0
49 2 0 7
22 0 0 0
39 0 0 5
27 0 0 5
21 0 0 0
29 0 0 3
20 0 0 1
36 0 0 1
63 0 0 8
41 0 0 3
34 1 0 6
11 0 0 1
14 0 0 1
32 0 0 3
17 0 0 0
42 0 0 3
21 0 0 2
20 0 0 0
54 1 1 10
23 0 0 4
14 0 0 3
31 0 0 3
42 0 0 6
45 0 0 4
22 0 0 0
19 0 0 2
27 0 0 0
44 0 0 7
26 0 0 0
22 0 0 0
27 0 0 2
44 0 0 4
26 0 0 4
25 0 0 3
23 0 0 1
35 0 0 1
23 0 0 5
43 0 0 4
11 0 0 1
13 0 0 0
18 0 0 3
28 0 0 4
31 0 0 0
27 0 0 1
38 0 0 0
55 0 0 4
29 0 0 1
36 0 0 4
28 0 0 3
35 0 0 2
26 0 0 1
18 0 0 2
37 0 0 4
12 0 0 0
39 0 0 3
33 0 0 1
25 0 0 3
31 0 0 3
26 0 0 3
43 0 0 6
12 0 0 0
29 0 0 2
30 0 0 3
30 0 0 4
32 0 0 3
26 0 0 6
20 0 1 1
37 0 0 6
13 0 0 1
29 0 0 4
22 0 0 1
37 0 1 5
32 0 0 1
31 0 0 2
34 0 0 3
17 0 0 4
31 0 0 4
42 0 1 8
19 0 0 1
34 0 0 3
39 0 0 0
55 0 0 1
39 0 0 7
22 0 0 1
27 0 0 3
35 0 0 7
21 0 0 1
41 0 0 6
23 0 0 2
41 0 0 2
23 0 0 4
28 0 0 1
27 0 0 2
24 0 0 1
31 0 0 4
23 0 0 0
34 0 0 5
21 0 0 6
47 0 0 7
25 0 0 7
36 0 0 3
28 0 0 7
19 0 0 2
40 0 0 3
29 0 0 1
30 0 0 8
19 0 0 6
32 0 0 5
4 0 0 2
21 0 0 0
23 0 0 1
19 0 0 1
47 0 0 3
9 0 0 0
66 0 0 5
18 0 0 1
73 0 0 4
20 0 0 1
38 0 0 1
20 0 0 2
38 0 0 1
35 0 0 6
41 0 0 2
20 0 0 0
16 0 0 1
34 0 0 3
18 0 0 2
12 0 0 3
26 0 0 0
28 0 0 0
17 0 0 2
20 0 0 0
27 0 1 4
30 0 0 1
18 0 0 0
27 1 0 5
49 0 0 5
36 0 0 6
14 0 0 5
25 0 0 1
51 0 0 7
33 0 0 3
18 0 0 3
30 0 0 3
30 0 0 3
67 0 0 5
22 1 1 1
67 0 0 5
28 0 0 1
38 0 0 5
30 0 0 2
43 0 0 4
45 0 0 3
16 0 0 5
11 0 0 0
31 0 0 4
26 0 0 3
22 0 0 1
10 0 0 3
28 0 0 3
29 0 0 3
17 0 0 2
31 0 0 10
25 0 0 2
21 0 0 6
19 0 0 1
25 0 0 2
54 0 0 4
50 0 0 4
23 0 0 4
19 0 0 2
15 0 0 0
30 0 0 2
20 0 0 5
34 0 0 1
23 0 0 3
29 0 0 2
30 0 0 6
42 0 0 2
29 0 0 2
26 0 0 1
28 0 0 1
28 0 0 4
15 0 0 0
27 0 0 5
39 0 0 4
40 0 0 1
52 0 0 7
36 0 0 1
27 0 0 2
22 0 0 2
19 0 0 1
17 0 0 2
50 0 0 8
21 0 0 1
19 0 0 1
30 0 0 2
21 0 0 1
48 0 0 4
22 1 0 1
31 0 0 4
14 0 0 3
28 0 0 1
54 0 0 2
20 0 0 1
41 0 0 3
26 0 0 1
11 0 0 2
35 0 0 4
43 0 0 8
27 0 0 2
26 0 0 2
36 0 0 4
28 0 0 5
20 0 0 1
23 0 0 3
27 0 0 3
28 0 0 4
25 0 0 4
14 0 0 0
28 0 0 2
36 0 0 3
25 0 0 4
32 0 0 8
39 0 0 6
27 0 0 4
17 0 0 1
21 0 0 1
35 0 0 3
24 0 0 0
20 0 0 1
49 0 0 6
23 0 0 2
23 0 0 1
67 0 0 13
32 0 0 4
29 0 0 1
16 0 0 3
17 0 0 0
22 0 0 2
27 0 0 3
24 0 0 1
31 0 0 1
32 0 0 2
22 0 0 4
57 0 0 6
21 0 0 0
30 0 0 3
47 0 0 0
32 0 0 2
36 0 0 3
16 0 0 1
20 0 0 2
34 0 0 4
15 0 0 0
18 0 0 4
36 0 0 6
21 0 0 3
39 0 0 7
41 0 0 2
24 0 0 0
38 0 0 1
32 0 0 2
36 0 0 6
29 0 0 1
38 0 0 2
28 0 0 2
32 0 0 4
16 0 0 1
25 0 0 1
50 0 0 2
22 0 0 0
22 0 0 4
28 0 0 2
33 0 0 3
11 0 0 0
52 0 0 2
37 0 0 7
26 0 0 4
29 0 0 3
19 0 0 4
29 0 0 2
36 0 0 4
41 0 0 2
45 0 0 1
28 0 0 1
41 0 0 4
23 0 0 2
42 0 0 3
44 0 0 0
64 1 1 9
48 0 0 3
33 0 0 4
26 0 0 1
21 0 0 1
35 0 0 2
24 0 0 2
26 0 0 2
13 0 0 5
27 0 0 0
20 0 0 3
27 0 0 3
26 0 0 4
26 0 0 2
38 0 1 8
14 0 0 0
20 0 0 0
21 0 0 1
13 0 0 1
18 0 0 2
34 0 0 0
38 0 0 2
19 0 0 3
19 0 0 1
28 0 0 7
17 0 0 1
21 0 0 2
47 0 0 6
26 0 0 2
26 0 0 4
29 0 0 4
17 0 0 2
32 0 0 4
14 0 0 1
32 0 0 3
29 0 0 0
17 0 0 2
24 0 0 2
36 0 0 1
21 0 0 2
28 0 0 4
39 0 0 4
27 0 0 2
39 0 0 1
37 0 0 2
33 0 0 8
19 0 0 1
39 0 0 2
36 0 0 3
45 0 0 3
29 0 0 1
33 0 0 1
46 0 0 4
28 0 0 0
42 0 0 0
11 0 0 2
26 0 0 1
28 0 0 0
29 0 0 3
50 0 0 2
25 0 0 3
39 0 0 1
34 0 0 3
23 0 0 0
22 0 0 2
27 0 0 1
21 0 0 3
47 0 0 6
35 0 0 5
43 0 0 2
39 0 0 4
47 0 0 6
41 0 0 2
36 0 0 2
38 0 0 1
26 0 0 4
20 0 0 4
29 0 0 2
96 0 0 5
13 0 0 1
17 0 0 1
41 0 0 5
21 0 0 2
37 0 0 2
39 0 0 2
26 0 0 2
50 0 0 1
35 0 0 0
30 0 0 3
21 0 0 1
29 0 0 3
36 0 0 3
34 0 0 8
19 0 0 2
33 0 0 2
31 0 0 5
34 0 0 2
28 0 1 5
48 0 0 4
43 0 0 1
25 0 0 1
30 0 0 2
24 0 0 1
27 1 0 4
30 0 0 2
38 0 0 4
30 0 0 2
23 0 0 2
21 0 0 2
30 0 0 1
20 0 0 2
31 0 0 5
40 0 0 3
10 0 0 3
16 0 0 0
44 1 1 4
16 0 0 0
40 0 0 2
29 0 0 6
11 0 0 2
24 0 0 4
32 0 0 4
28 0 0 3
26 0 0 3
37 0 0 0
38 0 0 1
52 0 0 5
22 0 0 0
22 0 0 2
35 0 0 6
44 0 0 5
35 0 0 1
32 0 0 2
42 0 0 5
6 0 0 0
38 0 0 3
48 1 0 4
35 0 0 1
11 0 0 2
61 0 0 4
34 0 0 3
42 0 0 2
22 0 0 2
30 0 0 1
21 0 0 3
19 0 0 4
13 0 0 1
19 0 0 1
45 0 0 3
21 0 0 1
14 0 0 2
24 0 0 1
34 0 0 0
18 0 0 2
39 0 0 1
33 0 0 3
40 0 0 7
29 1 0 2
26 0 0 3
21 0 0 3
13 0 0 0
41 0 0 2
49 0 0 6
31 0 0 0
36 0 0 4
41 0 0 4
24 0 0 3
17 0 0 2
16 0 0 2
27 0 0 7
28 0 0 0
31 0 0 1
56 1 0 3
29 0 0 0
22 0 0 0
45 0 0 4
41 0 0 2
30 0 0 2
25 0 0 3
40 0 0 2
27 0 0 1
24 0 0 2
19 0 0 3
30 0 0 2
38 0 0 2
36 0 0 6
24 0 0 3
34 0 0 4
37 0 0 3
42 0 0 3
32 0 0 3
25 0 0 0
24 0 0 3
24 0 0 4
39 0 0 5
15 0 0 4
59 0 0 4
42 0 0 2
51 0 0 3
45 0 0 1
28 0 0 2
29 0 0 4
42 1 0 6
41 0 0 3
21 0 0 5
28 0 0 2
33 0 0 5
24 0 0 2
31 0 0 0
17 0 0 5
28 0 0 4
30 0 0 2
43 0 0 2
36 0 0 6
36 0 0 2
17 0 0 1
29 0 0 1
31 0 0 2
21 0 0 1
32 0 0 3
18 0 0 2
33 0 0 0
15 0 0 0
22 0 0 1
37 0 0 5
39 0 0 5
24 0 0 1
9 0 0 0
21 0 0 1
28 0 0 0
28 0 0 2
54 0 0 12
29 0 0 4
20 0 0 1
40 0 0 1
22 0 0 1
24 0 0 3
19 0 0 1
35 0 0 1
25 0 0 1
39 0 0 4
11 0 0 0
38 0 0 1
25 0 0 2
27 0 0 6
43 0 0 4
37 0 0 1
25 0 0 1
30 0 0 0
37 0 0 2
27 0 0 1
41 0 0 3
26 0 0 1
17 0 0 0
37 0 0 5
30 0 0 0
31 0 0 7
38 0 0 5
23 0 0 2
88 0 0 6
25 0 0 3
26 2 0 7
28 0 0 3
23 0 0 0
18 0 0 1
61 0 0 10
28 0 0 1
36 0 0 5
23 0 0 5
29 0 0 0
26 0 0 2
25 0 0 5
21 0 0 2
17 0 0 2
32 0 0 2
27 0 0 0
33 0 0 0
39 0 0 4
35 0 0 1
39 0 0 3
28 0 0 3
22 0 0 2
29 0 0 3
16 0 0 0
33 0 0 5
21 0 0 0
32 0 0 3
42 0 0 5
26 0 0 1
24 0 0 3
81 1 0 9
28 0 0 0
22 0 0 1
29 0 0 1
44 0 0 1
34 0 0 2
40 0 0 1
30 0 0 3
20 0 0 0
27 0 0 3
16 0 0 1
43 0 0 3
25 0 0 4
17 0 0 2
33 0 0 1
19 0 0 5
19 0 0 1
41 0 0 5
19 0 0 0
34 0 0 2
37 0 0 5
26 0 0 4
39 0 0 6
37 0 0 4
27 0 0 3
24 0 0 1
27 0 0 5
24 0 0 1
20 0 0 1
33 0 0 1
18 0 0 4
47 0 0 7
44 0 0 4
20 0 0 3
24 0 0 0
22 0 0 2
22 0 0 0
38 0 0 8
52 0 0 5
16 0 0 2
26 0 0 2
19 0 0 1
19 0 0 2
28 0 0 1
22 0 0 7
18 0 0 2
23 0 0 3
37 0 0 7
28 0 0 2
42 1 0 3
27 0 0 4
25 0 0 1
17 0 0 2
21 0 0 1
29 0 0 2
20 0 0 2
14 0 0 1
16 0 0 2
14 0 0 2
29 0 0 2
22 0 0 2
76 0 0 3
28 0 1 1
27 1 1 1
22 0 0 0
16 0 0 2
36 0 0 3
19 0 0 2
29 0 0 3
33 0 0 3
13 0 0 1
30 0 0 1
28 0 0 2
28 0 0 3
25 0 0 3
29 0 0 4
19 0 0 2
23 0 0 5
18 0 0 2
22 0 0 2
43 0 0 3
21 0 0 1
39 0 0 2
24 0 0 2
25 0 0 0
30 0 0 5
51 0 0 7
30 0 0 2
17 0 0 2
26 0 0 2
29 0 0 4
23 0 0 2
21 0 0 5
22 0 0 2
23 0 0 1
23 0 0 1
15 0 0 1
20 0 0 0
25 0 0 0
44 0 0 3
24 0 0 3
18 0 0 3
24 0 0 1
35 0 0 1
30 0 0 0
43 0 0 1
50 0 0 5
20 0 0 1
21 0 0 4
26 0 0 2
36 0 0 1
21 0 0 4
23 0 0 0
28 0 0 2
21 0 0 0
30 0 0 2
29 0 0 5
31 0 0 1
31 0 0 3
17 0 0 1
26 0 0 0
29 0 0 2
44 0 0 3
28 0 0 1
31 0 0 1
25 0 0 6
26 0 0 0
22 0 0 3
19 0 0 1
32 0 0 2
26 0 0 0
26 0 0 3
23 0 0 6
7 0 0 0
18 0 0 3
18 0 0 4
32 0 0 6
31 0 0 1
27 0 0 2
13 0 0 1
21 0 0 0
16 0 0 0
33 0 0 3
22 0 0 4
49 0 0 2
21 0 0 1
13 0 0 1
21 0 0 2
11 0 0 0
30 0 0 1
32 0 0 3
29 0 0 1
28 0 0 2
16 0 0 0
35 0 0 4
24 0 0 5
43 0 0 4
43 0 0 3
62 0 0 12
45 0 0 4
24 0 0 1
35 0 0 1
32 0 0 1
23 0 0 1
45 0 0 2
21 0 0 2
46 0 0 4
15 0 0 0
23 0 0 0
28 0 0 1
21 0 0 1
13 0 0 3
6 0 0 1
20 0 0 2
40 0 0 2
17 0 0 0
27 0 0 0
25 1 1 2
31 0 0 0
20 0 0 1
17 0 0 2
25 0 0 6
22 0 0 3
18 0 0 1
19 0 0 3
33 0 0 1
16 0 0 0
39 0 0 2
32 0 0 2
19 0 0 1
32 0 0 5
27 0 0 3
41 0 0 8
11 0 0 0
33 0 0 6
28 0 0 2
16 0 0 0
33 0 0 8
25 0 0 2
20 0 0 2
27 0 0 0
27 0 0 2
24 0 0 0
19 0 0 2
25 0 0 5
33 0 0 2
38 0 0 1
20 0 0 0
39 0 0 2
28 0 0 6
35 0 0 2
33 0 0 3
13 0 0 2
38 0 0 2
23 0 0 1
13 0 0 0
29 0 0 3
42 0 0 4
29 0 0 5
22 0 0 2
42 0 0 3
65 0 0 1
41 0 0 5
33 0 0 5
16 0 0 1
21 0 0 2
23 0 0 5
20 0 0 1
26 0 0 4
31 0 0 2
23 0 0 1
32 0 0 4
25 0 0 1
28 0 0 3
40 0 0 4
22 0 0 3
27 0 0 1
24 0 0 0
28 0 0 2
37 0 0 2
25 0 0 2
25 0 0 0
28 0 0 4
38 0 0 4
33 0 0 3
12 0 0 0
26 0 0 3
18 0 0 1
27 0 0 1
39 0 0 1
46 0 0 3
40 0 0 7
19 0 0 1
24 0 0 3
32 0 0 1
24 0 0 0
17 0 0 5
25 2 0 2
27 0 0 3
67 1 0 10
18 0 0 1
38 0 0 3
41 0 0 6
17 0 0 2
25 0 0 0
29 0 0 2
28 0 0 1
25 0 0 3
19 0 0 1
31 0 0 2
23 0 0 3
21 0 0 4
21 0 0 1
43 1 0 5
28 0 0 4
40 0 0 4
19 0 0 3
9 0 0 2
24 0 0 0
26 0 0 1
14 0 0 1
17 0 0 2
27 0 0 0
17 0 0 1
21 0 0 2
13 0 0 3
16 0 0 1
27 0 0 1
32 0 0 0
27 0 0 3
28 0 0 0
25 0 0 3
50 0 0 2
24 0 0 4
39 0 0 4
36 1 0 7
50 0 0 3
16 0 0 2
33 0 0 3
22 0 0 2
47 0 0 0
31 0 0 2
14 0 0 1
50 0 0 3
18 0 0 0
33 0 0 8
35 0 0 3
32 0 0 3
33 0 0 2
36 0 0 2
29 0 0 2
15 0 0 3
22 0 0 1
16 0 0 0
15 0 0 3
20 0 0 2
10 0 0 0
18 0 0 2
45 0 0 6
31 0 0 2
34 0 0 6
27 0 0 1
20 0 0 2
17 0 0 4
21 0 0 1
25 0 0 2
23 0 0 3
36 0 0 5
38 0 0 1
25 0 0 2
34 1 0 0
29 0 0 2
41 0 0 1
21 0 0 2
20 0 0 1
14 0 0 0
24 0 0 3
38 0 0 3
27 0 0 2
17 0 0 0
32 0 0 1
49 0 0 4
60 0 0 9
27 0 0 5
39 0 0 6
22 0 0 2
18 0 0 1
36 0 0 1
13 0 0 1
26 1 0 4
37 0 0 7
34 0 0 0
43 0 0 5
42 0 0 3
23 0 0 3
34 0 0 0
12 0 0 2
33 0 0 1
22 0 0 3
28 0 0 3
32 0 0 1
35 0 0 5
24 0 0 4
18 0 0 0
40 0 0 6
26 0 0 2
33 0 0 8
34 0 0 3
35 0 0 1
17 0 0 1
34 0 0 0
23 0 0 2
32 0 0 6
32 0 0 3
32 0 0 4
21 0 0 2
24 0 0 1
44 0 0 3
33 0 0 1
41 0 0 6
15 0 0 0
28 0 0 1
32 2 0 5
19 0 0 2
19 0 0 1
39 0 0 4
31 0 0 2
38 0 0 2
23 0 0 2
28 0 0 1
29 0 0 4
28 0 0 1
38 0 0 2
40 0 0 6
37 0 0 3
38 0 0 1
22 0 0 2
28 0 0 0
28 0 0 3
24 0 0 3
41 0 0 5
42 0 0 5
15 0 0 0
27 0 0 3
38 0 0 3
19 0 0 0
23 0 0 2
18 0 0 1
25 0 0 2
21 0 0 1
22 0 0 2
21 0 0 1
24 0 0 1
25 0 0 0
26 0 0 3
27 0 0 1
35 0 0 7
35 0 0 2
26 0 0 2
32 0 0 1
38 1 0 2
38 0 0 2
28 0 0 1
37 0 0 3
41 0 0 4
38 0 0 6
10 0 0 0
19 0 0 1
18 0 0 5
36 0 0 5
38 0 0 2
33 0 0 4
34 0 0 3
21 0 0 3
21 0 0 0
18 0 0 3
39 0 0 0
33 0 0 2
22 0 0 1
23 0 0 2
33 0 0 5
35 0 0 1
17 0 0 1
21 0 0 7
25 0 0 3
27 0 0 0
46 0 0 6
28 0 0 2
19 0 0 3
31 1 0 4
27 0 0 2
42 0 0 3
43 0 0 5
31 0 0 2
46 0 0 5
29 0 0 0
26 0 0 0
38 0 0 4
32 0 0 4
22 0 0 4
31 0 0 5
31 0 0 2
29 0 0 0
16 0 0 1
37 0 0 1
23 0 0 4
37 0 0 4
29 0 0 1
36 0 0 9
25 0 0 1
20 0 0 1
17 0 0 0
32 0 0 4
32 0 0 2
25 0 0 4
26 0 0 3
26 0 0 9
32 0 0 5
31 0 0 2
21 0 0 1
31 0 0 2
25 0 0 2
24 0 0 3
23 0 0 0
27 0 0 3
31 0 0 2
37 0 0 3
31 1 0 6
30 0 0 2
17 0 0 1
18 0 0 1
26 0 0 8
20 0 0 2
11 0 0 1
29 0 0 1
42 0 0 4
35 0 0 5
47 0 0 3
29 0 0 2
36 0 0 1
24 0 0 6
41 0 0 0
16 0 0 2
21 0 0 2
27 0 0 7
37 0 0 2
22 0 0 2
39 0 0 5
23 0 0 3
30 0 0 0
30 0 0 2
29 0 0 1
31 0 0 4
60 0 0 8
54 0 0 5
20 0 0 2
32 0 0 3
47 0 1 4
20 0 0 2
35 0 0 1
33 0 0 8
33 0 0 0
27 0 0 1
27 0 0 1
29 0 0 2
37 0 0 3
23 0 0 3
30 0 0 1
32 0 0 3
16 0 0 0
41 0 0 2
78 0 0 6
21 0 0 2
32 0 0 4
26 0 0 0
38 0 0 5
26 0 0 1
53 0 0 1
27 0 0 2
28 0 0 2
31 0 0 2
38 0 0 4
57 0 0 5
27 0 0 3
33 0 0 3
40 0 0 5
17 0 0 2
27 0 0 1
28 0 0 1
29 0 0 3
19 0 0 3
29 0 0 4
43 0 0 4
31 0 0 1
33 0 0 0
27 0 0 1
40 0 0 5
35 0 0 3
17 0 0 1
23 0 0 3
16 0 0 3
27 0 0 2
23 0 0 1
39 2 0 5
31 0 0 3
38 0 0 3
44 0 0 3
23 0 0 6
73 0 0 5
41 0 0 8
31 0 0 4
9 0 0 0
18 0 0 1
46 0 0 3
13 0 0 1
23 0 0 3
26 0 0 3
24 0 0 2
18 0 0 4
5 0 0 0
15 0 0 1
42 1 0 6
38 0 0 6
29 0 0 0
16 0 0 2
30 0 0 0
23 0 0 2
25 0 0 3
32 0 0 0
31 0 0 1
27 0 0 0
30 0 0 2
42 0 0 3
15 0 0 1
53 0 0 5
20 0 0 3
34 0 0 2
37 0 0 0
34 0 0 3
26 0 0 1
38 0 0 5
44 0 0 0
23 0 0 1
40 1 0 2
36 0 0 4
50 0 0 2
20 0 0 2
32 0 0 6
30 0 0 3
23 0 0 0
8 0 0 0
38 0 0 9
10 0 0 0
21 0 0 0
51 0 0 1
39 0 0 5
21 0 0 1
25 1 0 1
14 0 0 4
28 0 0 2
23 0 0 2
22 0 0 2
27 0 0 4
14 0 0 0
24 0 0 1
21 0 0 2
30 0 0 4
30 0 0 4
26 0 0 2
23 0 0 3
35 0 0 2
29 0 0 0
35 0 0 4
34 0 0 3
36 0 0 1
27 0 0 2
19 0 0 4
28 0 0 3
29 0 0 4
36 0 0 4
23 0 0 0
29 0 0 3
49 0 0 6
37 0 1 7
17 0 0 2
14 0 0 2
55 0 0 3
42 0 0 1
12 0 0 0
30 0 0 4
3 0 0 2
31 0 0 2
26 0 0 6
22 0 0 2
30 0 0 4
44 0 0 6
29 0 0 1
23 0 0 1
23 0 0 1
57 0 0 6
21 0 0 0
42 0 0 3
34 0 0 2
35 0 0 2
27 0 0 4
28 0 0 2
15 0 0 1
50 0 0 3
39 0 0 3
18 0 0 4
30 0 0 5
34 0 0 2
26 0 0 4
33 0 0 5
29 0 0 0
74 0 0 10
27 0 0 0
36 0 0 1
23 0 0 1
44 0 0 1
25 0 0 1
14 0 0 1
39 0 0 2
12 0 0 2
29 0 0 5
23 0 0 3
15 0 0 2
45 0 0 2
25 0 0 3
19 0 0 1
17 0 0 1
28 0 0 3
23 1 0 1
34 0 0 3
47 0 0 2
57 1 1 4
31 0 0 2
32 0 0 2
22 0 0 4
24 0 0 2
46 0 0 9
16 0 0 0
21 0 0 0
20 0 0 2
36 1 0 3
42 0 0 3
19 0 0 0
39 0 0 0
17 0 0 2
38 0 0 5
36 0 0 3
32 0 0 2
42 0 0 1
29 0 0 2
35 0 0 4
28 0 0 3
35 0 0 4
26 0 0 6
23 0 0 5
54 0 0 6
27 0 0 2
36 0 0 5
23 0 0 5
17 0 0 1
29 0 0 3
25 0 0 4
40 0 0 6
28 0 0 1
29 0 0 1
9 0 0 1
52 0 0 8
22 0 0 2
28 0 0 2
41 1 0 11
22 0 0 2
37 0 0 3
19 0 0 0
36 0 0 6
30 1 1 2
22 0 0 3
58 0 0 2
16 0 0 4
32 0 0 5
22 0 0 7
41 0 0 4
24 0 0 4
30 0 0 0
30 0 0 3
35 0 0 4
27 0 0 2
15 0 0 1
28 0 0 2
29 0 0 2
28 0 0 2
63 0 0 4
8 0 0 2
21 0 0 0
24 0 0 2
13 0 0 1
18 0 0 5
27 0 2 0
33 0 0 2
20 0 0 4
21 0 0 1
25 0 0 3
14 0 0 0
36 0 0 5
21 0 0 2
53 0 0 3
19 0 0 3
27 0 0 1
29 0 0 4
31 0 0 0
30 0 0 4
25 0 0 1
21 0 0 0
19 0 0 1
34 0 0 0
25 0 0 0
46 0 0 2
21 0 0 2
32 0 0 0
24 0 0 3
23 0 0 0
13 0 0 2
46 0 0 3
27 0 0 4
18 0 0 2
35 0 0 3
18 0 0 0
30 0 0 0
25 0 0 5
35 0 0 3
26 0 0 3
34 0 0 0
31 0 0 5
35 0 0 1
27 0 0 3
46 0 0 4
22 0 0 1
36 0 0 3
35 0 0 2
24 0 0 4
20 0 0 1
24 0 0 3
30 0 0 2
23 0 0 3
30 0 0 3
21 0 0 0
34 0 0 7
23 2 0 3
21 0 0 4
19 0 0 3
41 0 0 4
25 0 0 3
23 0 0 3
39 0 0 5
26 0 0 1
21 0 0 3
38 0 0 4
18 0 0 3
41 0 0 2
49 0 0 2
45 0 0 3
17 0 0 0
26 0 0 1
32 0 0 1
14 0 0 0
58 0 0 3
29 0 0 3
34 0 0 1
37 0 0 2
58 0 0 3
28 0 0 4
15 0 0 2
39 0 0 8
49 0 0 6
18 0 0 1
23 0 0 0
34 0 0 1
31 0 0 1
28 0 0 2
21 0 0 1
18 0 0 1
23 0 0 3
24 0 0 2
32 0 0 1
32 0 0 1
34 0 0 4
40 0 0 2
28 0 0 1
27 0 0 1
19 0 0 1
15 0 0 0
27 0 0 3
17 0 0 2
39 0 0 3
24 0 0 2
41 0 0 1
23 0 0 0
32 0 0 5
41 0 0 0
22 0 0 1
20 0 0 0
25 0 0 2
39 0 0 3
31 0 0 2
21 0 0 1
56 0 0 3
14 0 0 5
42 0 1 3
21 0 0 6
25 0 0 4
25 0 0 5
40 0 0 2
16 0 0 3
30 0 0 2
25 0 0 5
27 0 0 0
27 0 0 1
32 0 0 7
28 0 0 6
34 0 0 3
30 0 0 2
35 0 0 4
19 0 0 2
52 0 0 5
22 0 0 0
28 0 0 0
35 0 1 4
15 0 0 3
28 0 0 4
27 0 0 3
34 0 0 2
20 0 0 1
27 0 0 1
22 0 0 0
29 0 0 4
28 0 0 1
22 0 0 2
34 0 0 3
24 0 0 2
47 0 0 0
19 0 0 0
31 0 0 0
29 0 0 3
34 0 0 0
25 0 0 2
22 0 0 0
26 0 0 2
50 0 0 3
27 0 0 2
47 0 0 4
25 0 0 1
38 0 0 11
23 0 0 3
34 0 0 0
31 0 0 1
27 0 0 5
38 0 0 2
33 0 0 5
26 0 0 3
34 0 0 4
31 0 0 7
19 0 0 0
13 0 0 0
30 0 0 3
30 0 0 2
22 0 0 0
37 0 0 3
22 0 0 2
45 0 0 10
21 0 0 6
29 0 0 1
28 0 0 1
37 0 0 6
21 0 0 2
9 0 0 0
19 0 0 0
18 0 0 0
21 0 0 2
38 1 0 3
38 0 0 2
33 0 0 5
25 0 0 2
19 0 0 2
49 0 0 5
43 0 0 3
29 0 0 0
14 0 0 0
33 0 0 1
34 0 0 1
30 0 0 1
48 0 0 5
22 0 0 1
11 0 0 0
32 0 0 1
17 0 0 3
41 0 0 6
58 0 0 7
30 0 0 2
25 0 0 2
21 0 0 6
42 0 0 2
31 0 0 6
37 0 0 3
47 0 0 5
31 0 0 6
33 0 0 5
31 0 0 4
30 0 0 2
